"annotation_id"	"annotator"	"created_at"	"id"	"lead_time"	"sentiment"	"text"	"updated_at"
60	"1"	"2025-10-08T09:01:37.652554Z"	1043	24.949	"Sosial dan Ekonomi"	"Asalamualaikum, salam sejahtera buat ibu bupati, saya mau menanyakan nasib saya setelah 12 tahun lebih mengabdi sebagai penjaga sekolah. Untuk tahun ini bagaimana njih, adakah alokasi pengangkatan buat saya, trimakasih sebelum nya. Mudah-mudahan ada ya bu,"	"2025-10-08T09:01:37.653562Z"

61	"1"	"2025-10-08T09:01:46.929113Z"	1044	8.162	"Pelayanan Publik"	"Bagaimana prosedur atau tata cara melamar kerja sebagai pegawai BLUD di purbalingga ?"	"2025-10-08T09:01:46.929113Z"

62	"1"	"2025-10-08T09:02:01.915025Z"	1045	13.74	"Pendidikan"	"Nuwun Sewu, Bu Tiwi kepareng matur saya pengelola TPQ di desa Kutasari mohon untuk bisa dibantu honor untuk para ustadz di TPQ kami. Sekian dan terimakasih"	"2025-10-08T09:02:01.915025Z"

63	"1"	"2025-10-08T09:02:11.945763Z"	1046	8.401	"Ketertiban"	"Manusia silver di simpang sirongge membahayakan pengendara motor Kronologi : Karna tidak di kasih uang dan di klason oleh pengendara, manusia silver menghalangi dengan memanjangkan kaki pengendara motor yang lewat dan berteriak Ini salah satu tindakan premanisme, jadi saya mohon untuk di tindaklanjuti dan di beri tindakan/peringatan. Tertangkap kamera cctv dari pos polisi simpang sirongge kisaran pukul 10.40 wib Terimakasih Ciri ciri manusia silver : Tinggil +- 160 cm Tubuh gempal Rambut acak acakan"	"2025-10-08T09:02:11.945763Z"

64	"1"	"2025-10-08T09:02:42.229950Z"	1047	29.586	"Infrastruktur"	"Selamat siang, sya berasal dri majasem, di perbatasan desa saya, desa majasem dan jetis, dekat jembatan pasren tepatnya sungai klawing terdapat tikungan sungai klawing yang mengakibatkan tanah di desa majasem sering tergerus arus. dari 10 tahun terakhir mungkin sudah ada pulihan bahkan ratusan ubin tanah yang hilang. ini sangat merugikan pemilik tanah/petani di desa majasem. ditambah lagi terkadang masih ada oknum/kelompok penambang pasir yang melakukan penambangan di wilayah desa majasem, sehingga menambah hilangnya sebagian wilayah desa majasem. mohon untuk dinas terkait melakukan krosscek guna menindaklanjuti, terimakasih."	"2025-10-08T09:02:42.229950Z"

65	"1"	"2025-10-08T09:03:30.340723Z"	1048	45.548	"Pelayanan Publik"	"Selamat siang. Saya Harry Misbah Fahrudin dari Majalengka tapi sedang merantau di Purbalingga. Apakah saya bisa ikut cetak ulang KTP karena rusak di sini? Terima Kasih."	"2025-10-08T09:03:30.340723Z"

66	"1"	"2025-10-08T09:03:58.965331Z"	1049	27.152	"Pelayanan Publik"	"Selamat siang Mau tanya kriteria dapat bantuan rumah seperti apa ya rumah lebih reot TPI ga dapet yg udah pake kramik udah bagus mlh dapet"	"2025-10-08T09:03:58.965331Z"

67	"1"	"2025-10-08T09:04:11.181896Z"	1050	11.121	"Pelayanan Publik"	"INFORMASI UNTUK VAKSIN KE 3/ BOOSTER DI PURBALINGGA BU BUPATI,SUPAYA BISA BEKERJA"	"2025-10-08T09:04:11.181896Z"

68	"1"	"2025-10-08T09:05:40.960741Z"	1051	88.089	"Pelayanan Publik"	"mau tanya kenapa Bandara di Purbalingga tidak ada rute penerbangan lagi ya dari jakarta?"	"2025-10-08T09:05:40.960741Z"

69	"1"	"2025-10-08T09:06:00.022658Z"	1052	17.201	"Pelayanan Publik"	"Tolong di update lagi info loker di purbalingga"	"2025-10-08T09:06:00.022658Z"

70	"1"	"2025-10-08T09:06:10.953659Z"	1053	9.485	"Infrastruktur"	"Mohon maaf sy ingin melaporkan, ada 2 titik di sebelah kanan dan kiri pondok kita, ponpes Alhusaini di majasem rt 5rw 2 kemangkon, lampunya mati dan error, mohon untuk dibantu"	"2025-10-08T09:06:10.953659Z"

71	"1"	"2025-10-08T09:06:52.414215Z"	1054	40.01	"Sosial dan Ekonomi"	"assalamualaikum, mohon pencerahan dan petunjuk mengenai penyaluran/ pemerataan bantuan pemerintah yang ada, khususon bagi peserta kis pbi kriteria.nya bagaimana, soalnya saya coba daftar di situs kemensos malah situsnya seperti tidak aktif terus,sedangkan disini ada yang peserta kis pbi sama sekali tidak dapat bantuan apapun, malah masih banyak terdapat penyaluran yang dirasa kurang tepat sasaran,dan masukan lagi untuk program pkh harusnya sudah mulai giliran ganti peserta, buat apa sering pendataan kalau update data tersebut terkesan tidak dipakai, padahal saya amati banyak yang ekonomi udah meningkat ataupun lebih baik dibanding yang lain tapi masih menerima,dan apalagi peserta yang dulunya menerima bantuan tapi sudah meninggal, jatahnya belum jelas pengalihannya. terima kasih atas perhatiannya,semoga curahan ini mendapat respon dan solusi yang baik, sekali lagi matursuwun ibu. wassalamualaikum"	"2025-10-08T09:06:52.414215Z"

72	"1"	"2025-10-08T09:07:03.702860Z"	1055	9.936	"Pelayanan Publik"	"Selamat siang, ijin untuk menyampaikan pertanyaan untuk pendaftaran pegawai BLUD Puskesmas itu prosedur atau tata cara pelamarannya bagaimana ya, mohon informasinya. Terimakasih"	"2025-10-08T09:07:03.702860Z"

73	"1"	"2025-10-08T09:07:19.870858Z"	1056	15.178	"Ketertiban"	"Asap sampah dari taman RTH bojong sgt menggu pelayanan di pusk bojong dan pasien ispa/sesak"	"2025-10-08T09:07:19.870858Z"

74	"1"	"2025-10-08T09:07:52.763250Z"	1057	31.848	"Pelayanan Publik"	"Assalamualaikum ibu bupati pilihanku.. Ijin matur, terkait pengawasan dari Dinkes dan DLH terhadap dokumen2 yg dimiliki RS PKU Muhammadiyah UKLUPL, Rintek limbah B3, Pertek Limbah cair serta SOP terkait penjaga pasien harusnya berapa?? Sama larangan gelar tiker bagaimana?? Dasarhukum dan sanksi bagi pelanggar. Mengingat penilaian kinerja dinas pemerintah. Mohon ditindaklanjuti. Terimakasih."	"2025-10-08T09:07:52.763250Z"

75	"1"	"2025-10-08T09:08:13.990504Z"	1058	20.004	"Ketertiban"	"Mohin untuk konsee musik di gedung mahesa jenar untuk di terribkan karena kami sebagai wrga sekitar merasa terganggu dengan kebiisngannya karena susdah malam dan banyak lansia dibsekitat..maksih.."	"2025-10-08T09:08:13.990504Z"

76	"1"	"2025-10-08T09:08:23.873509Z"	1059	7.76	"Infrastruktur"	"Lampu penerangan jalan PJU Di desa kami yaitu Desa Sangkanayu RT02 RW01 Mati. Mohon segera di tindaklanjuti. Matursuwun Sangkanayu, 17 Feb 2024"	"2025-10-08T09:08:23.873509Z"

77	"1"	"2025-10-08T09:08:39.096937Z"	1060	14.094	"Infrastruktur"	"Assalamu'alaikum Ibu. Menginformasikan bahwasanya lampu jalan pertigaan serayu mrebet kondisi mati/ tidak berfungsi letak di selaganggeng/ pertigaan jalan besar yang arah ke serang sehingga membahayakan bagi penyebrang. Mohon perhatian dan tindaklanjutnya segera. Terimakasih Ibu."	"2025-10-08T09:08:39.096937Z"

78	"1"	"2025-10-08T09:09:58.894714Z"	1061	78.811	"Pelayanan Publik"	"Pohon tumbang disamping jalan, jalan padamara-sokawera"	"2025-10-08T09:09:58.894714Z"

79	"1"	"2025-10-08T09:11:36.889670Z"	1062	97.189	"Infrastruktur"	"Assalamu'alaikum Warahmatullahi WabarakatuhYth. Bupati dan Wakil Bupati Purbalingga beserta jajaran dan dinas terkait, saya ingin melaporkan bahwa pohon di sepanjang jalan AW Soemarmo tepatnya di perempatan asrikin dan perempatan sirongge itu sudah terlalu rimbun dan sampai menghalangi petunjuk jalan dan traffic light, mohon untuk dinas terkait bisa untuk di pangkas supaya tidak menimbulkan bahaya dikemudian hari. TerimakasihWassalamu'alaikum Warahmatullahi Wabarakatuh"	"2025-10-08T09:11:36.889670Z"

80	"1"	"2025-10-08T09:13:03.067629Z"	1063	84.101	"Infrastruktur"	"Assalamualaikum lapor ibu Bu Pati jl raya tlahab kidul yg menuju arah welirang lor Gondang kr reja atau yg menuju arah tungkep kr jambu rusak parah mohon segera di perbaiki saya warga welirang lor asal Wonosobo,jualan bakso malang di Purbalingga"	"2025-10-08T09:13:03.067629Z"

81	"1"	"2025-10-08T09:13:20.226346Z"	1064	16.051	"Infrastruktur"	"Kabel pinggir jalan kendor mengganggu akses masuk dan keluar di spbu 44.533.04, sudah dari kemarin sore laporan tidak kunjung di tangani sampe skarang"	"2025-10-08T09:13:20.226346Z"

82	"1"	"2025-10-08T09:13:28.433927Z"	1065	7.313	"Infrastruktur"	"Mohon ijin lapor, lampu jalan pertigaan balaidesa cipaku , kecamatan mrebet, sudah lama mati, mohon dibantu untuk kembali beroperasi. Terimakasih jazakallohu khoiron"	"2025-10-08T09:13:28.433927Z"

83	"1"	"2025-10-08T09:13:47.295606Z"	1066	17.476	"Ketertiban"	"Dilihat perkembangan sekarang. Pasar segamas terlalu banyak orang berdagang di emperan alias lahan parkir. Alhasil untuk parkir susah terutama waktu dini hari . Secara jelas orang yang punya lapak , juga merasa dirugikan . Tidak baiknya persaingan perdagangan harga . Tambahanya juga pengamen/pengemis setiap hari beroperasional 3x sampe 5x ,jadi kurang nyaman bagi pedagang dan pembeli ... Aturan tegas sekarang tidak ketat seperti sebelumnya . Pernah ihat sendiri satpam kerja nyata untuk pedagang yg jualan di emperan langsung suruh beres² pindah atau dilarang jualan yg bukan tempatnya."	"2025-10-08T09:13:47.295606Z"

84	"1"	"2025-10-08T09:13:59.109207Z"	1067	10.72	"Sosial dan Ekonomi"	"Maaf bu saya mau lapor Saya penerima bpnt Dari taun 2023 saya juga menerima bantuan beras 10kg Tp knp di bulan januari 2024 ini saya tidak dapat Sedang tetangga yang jg menerima bpnt juga mendapat bantuan beras 10kg Tolong di bantu bu Meski itu hanya 10kg tapi sangat membatu ekononi saya Terimakasih"	"2025-10-08T09:13:59.109207Z"

85	"1"	"2025-10-08T09:14:09.554311Z"	1068	8.704	"Infrastruktur"	"Mohon segera diperbaiki tanggul sungai kawing secepatnya..."	"2025-10-08T09:14:09.554311Z"

86	"1"	"2025-10-08T09:14:18.072632Z"	1069	7.36	"Infrastruktur"	"Lampu jalan area karangreja sebagian mati,terutama jalur depan SMP N 1 karangreja"	"2025-10-08T09:14:18.072632Z"

87	"1"	"2025-10-08T09:14:30.987265Z"	1070	11.488	"Sosial dan Ekonomi"	"Sy warga karangduren rt 1 rw 6 dan msk dlm katagori data DTKS tp tdk pernah menerima bantuan BNPT atau PKH ataupun SEMBAKO padahal umur sy sdh 57thn dan suami sy hanyalah buruh harian sdg yg lebih mampu dan msh usia produktif menerima bantuan tsb. Sdg pihak desa sdh mengajukan sy utk menerima bantuan tsb tp smp skrg sy tdk menerima bahkan bantuan utk pembangunan rmh yg sdh diajukan sejak 3thn yg lalu tdk pernah turun -turun sdgkan yg diajukan stlh sy sdh turun, apakah Krn sy kaum minoritas? Mohon kebijaksanaan dan peehatian"	"2025-10-08T09:14:30.987265Z"

88	"1"	"2025-10-08T09:14:55.555527Z"	1071	23.096	"Infrastruktur"	"penanganan sodetan kali klawing ditentang warga merden penaruban jadi sodetan tidak dpt di jalankan krna mereka merasa mempunyai leter c surat sungai. Sedangkan kemarin baru saja ada rumah warga yang dapurnya hilang gugur terbawa air sungai. Keluarga saya terpaksa harus meninggalkan rumah karena takut kalau kalau tanah gugur lagi setiap harinya"	"2025-10-08T09:14:55.556532Z"

89	"1"	"2025-10-08T09:15:04.181416Z"	1072	7.293	"Infrastruktur"	"Mohon segera diperbaiki tanggul sungai klawing..."	"2025-10-08T09:15:04.181416Z"

90	"1"	"2025-10-08T09:15:10.863660Z"	1073	5.78	"Infrastruktur"	"jalan rusak desa sanguwatang kecamatan karangjambu, mibta tolong untuk diperbaiki karena sudah terlalu lama 1thn lebih dan itu sangat menyulitkan aktivitas warga karena tidak bisa dilalui terimakasih"	"2025-10-08T09:15:10.863660Z"

91	"1"	"2025-10-08T09:15:24.053585Z"	1074	12.197	"Pelayanan Publik"	"Yth bupati purbalingga. Saya uus warga desa Wirasaba RT 2/6 bukateja ketua POKDARWIS pesona desa ku yg rencana akan membuat taman wisata di sepanjang bantaran sungai BTW. 1. Kampung Romadhon. 2. Kebun buah anggur 3. Taman bunga Berhubung dari Pokdarwis membutuhkan penerangan agar klo malam tidak gelap sekali mohon bantuan nya untuk Pokdarwis di bantu dastang listrik untuk bisa membuat penerangan di sepanjang bantaran sungai lokasi wisata tersebut.......hanya itu ...ibu yg saya/ kami minta Saya ucapkan terima kasih."	"2025-10-08T09:15:24.053585Z"

92	"1"	"2025-10-08T09:15:36.104231Z"	1075	10.355	"Infrastruktur"	"Mohon untuk diperbaiki lampu penerangan jalan yang berada di samping griya mode sabrina, desa kalimanah kulon rt 03 rw 01"	"2025-10-08T09:15:36.104231Z"

93	"1"	"2025-10-08T09:15:49.750742Z"	1076	12.537	"Pelayanan Publik"	"Mohon izin dan ditindaklanjuti, terkait penerangan lampu jalan diwilayah kedungbenda kec.kemangkon tidak menyala dan jalan bergelombang sehingga menyebabkan kekhawatiran untuk pengendara pada saat melintasi jalur tersebut dimalam hari"	"2025-10-08T09:15:49.750742Z"

94	"1"	"2025-10-08T09:16:03.765588Z"	1077	12.209	"Pelayanan Publik"	"Mohon izin saya Fawwaz Maulana, saya selaku warga desa jetis rt 15 rw 6 mohon izin untuk memberikan saran terkait dengan masalah penerangan jalan jalan purbalingga-kelampok/jalan sekitar yonif 406 ck untuk dapat di cek secara berkala di karenakan sangat sering tidak berfungsi/mati, sehingga jalanan menjadi cukup gelap saat malam hari, terlebih lagi jarang ada rumah di jalan sekitaran 406 yang dimana jika penerangan jalan tidak berfungsi maka tidak ada lampu menyala selain lampu penerangan jalan. Sekian masukan dari saya semoga dapat di terima. Terimakasih"	"2025-10-08T09:16:03.765588Z"

95	"1"	"2025-10-08T09:16:23.551549Z"	1078	17.938	"Pelayanan Publik"	"Selamat Malam, Mohon Ijin Kepada Dinkes Kab.Purbalingga, Bahwa Saat ini saya sudah tidak bekerja di RSU Siaga Medika. Namun Sisdmk saya masih aktif sehingga SIP saya saat ini Tercatat 3, Mohon untuk dibantu di Perbaiki untuk keterangan Tanggal Berakhir Bekerja. Terima Kasih"	"2025-10-08T09:16:23.551549Z"

96	"1"	"2025-10-08T09:17:05.148110Z"	1079	40.207	"Sosial dan Ekonomi"	"Assalamualaikum wr.wb selamat sing ibu mohon maaf mengganggu saya punya tetangga janda 50 tahun alamat desa selakambang beji RT 01/08 kondisi bangunan tidak layak rumah retak2 lantai masih plester tapi retak retak tapi tidak mendapatkan bantuan baik BPNT maupun PKH mohon di tindak lanjuti laporan saya bu. Terima kasih banyak ibu"	"2025-10-08T09:17:05.148110Z"

97	"1"	"2025-10-08T09:17:58.229946Z"	1080	51.288	"Pelayanan Publik"	"mohon izin dan ditindaklanjuti, terkait penerangan lampu jalan di wilayah kedungbenda kec. kemangkon tidak menyala dan jalan bergelombang sehingga menyebabkan kekhawatiran untuk pengendaraa pada saat melintasi jalur tersebut pada malam hari"	"2025-10-08T09:17:58.229946Z"

98	"1"	"2025-10-08T09:18:53.366461Z"	1081	53.097	"Pelayanan Publik"	"Mohon ijin, kepada Dinkes Purbalingga untuk dapat membantu memperbaiki data sisdmk saya. Karna di status bekerja di RSU Siaga Medika Masih belum Ada tanggal berakhirnya bekerja. Saya sudah tidak bekerja di rsu siaga medika lagi"	"2025-10-08T09:18:53.366461Z"

99	"1"	"2025-10-08T09:19:08.877423Z"	1082	13.802	"Ketertiban"	"Assalamu'alaikum Warahmatullahi Wabarakatuh Yth. Bupati dan Wakil Bupati Purbalingga beserta jajaran dan dinas terkait saya ingin melaporkan bahwa jalan di bundaran patung knalpot bergelombang / rusak, mohon untuk dinas terkait bisa memperbaiki jalan tersebut karena mengingat dibundaran patung knalpot tersebut selalu ramai kendaraan. Mohon bisa segera ditindaklanjuti agar memberi kenyamanan bagi pengguna jalan. TerimakasihWassalamu'alaikum Warahmatullahi Wabarakatuh"	"2025-10-08T09:19:08.878429Z"

100	"1"	"2025-10-08T09:19:21.700087Z"	1083	11.216	"Sosial dan Ekonomi"	"Selamat siang bu,saya bagas priambodo warga desa bojongsari kecamatan bojongsari kab purbalingga rt01 rw02 dusun 1 Saya sakit mau berobat tapi tidak bisa bu karna bpjs pun saya dan ibu saya tdk mampu bayar. Mohon solusinya ibu.saya kepengen sekali berobat sampai sembuh.saya"	"2025-10-08T09:19:21.700087Z"

101	"1"	"2025-10-08T09:19:38.342459Z"	1084	15.035	"Pelayanan Publik"	"Assalamualaikum Bu.....? Masih ada nggak bantuan untuk anak yang masih umur balita , sampe sekarang saya belum sekalipun di kasih dari desa.......?"	"2025-10-08T09:19:38.342459Z"

102	"1"	"2025-10-08T09:19:51.827200Z"	1085	11.884	"Pelayanan Publik"	"Assalamu'alaikum... Kabel listri & terutama kabel WiFi semrawut terkena ranting² pohon, mengganggu lingkungan khawatir membahayakan pengguna jalan, lokasi di sepanjang jalan Asmareja RT 03 RW 01 Bojong. Purbalingga. Mau ditebangi sendiri takut disalahkan & bahaya. Kalau harus lapor, ditujukan ke PI atau kemana laporannya & bagaimana caranya ? Krn itulah saya matur Bupati di sini. Semoga segera ditangani, sebelum membahayakan pengguna jalan & masyarakat sekitar,. Maturnuwun wa salamu'alaikum..."	"2025-10-08T09:19:51.827200Z"

103	"1"	"2025-10-08T09:20:21.071933Z"	1086	27.267	"Pelayanan Publik"	"Mohon di tertibkan untuk PKL malam di depan kantor DKPP Purbalingga yang memakai tenda, karena sebelum jam 16.00 atau 14.30 sudah memasang tenda. Hal ini sangat mengganggu keindahan kantor DKPP. Atas tindak lanjutnya saya ucapkan terima kasih"	"2025-10-08T09:20:21.071933Z"

104	"1"	"2025-10-08T09:20:52.026647Z"	1087	29.435	"Pelayanan Publik"	"Ibu tolong mbok bisa dibina utk staff pelayanan di Bakeuda yang di Bancar Yang bagian Front office pada loket 1 yang perempuan agar bisa lebih ramah dalam melayani Terimakasih"	"2025-10-08T09:20:52.026647Z"

105	"1"	"2025-10-08T09:21:05.121524Z"	1088	11.579	"Infrastruktur"	"Tolong kembalikan fungsi trotoar untuk pejalan kaki bukan untuk berjualan buah di Toko buah LINGGA BUAH, Bancar"	"2025-10-08T09:21:05.122522Z"

106	"1"	"2025-10-08T09:21:36.047223Z"	1089	28.815	"Pelayanan Publik"	"Kenapa ? Selamat siang admin, hanya bertanya.. mengapa di form lapor harus mengisi nama lengkap dan NIK ? seharusnya laporan itu hanya perlu nama, bahkan di aplikasi lapor.go.id ada fitur yang namanya 'ANONIM' dengan diadakannya Nama lengkap dan NIK orang akan sedikit takut lapor kejadian yang dianggap sensitif. dikarenakan keselamatan mereka."	"2025-10-08T09:21:36.047223Z"

107	"1"	"2025-10-08T09:21:43.324684Z"	1090	6.184	"Pelayanan Publik"	"Mati listrik dari siang sampai sekarang di desa Sidareja, Kaligondang, mohon segera di perbaiki"	"2025-10-08T09:21:43.324684Z"

108	"1"	"2025-10-08T09:21:58.335859Z"	1091	13.945	"Ketertiban"	"mohon bertanya apakah sekarang kalau parkir di terminal untuk transit itu bayar parkir? padahal sebelumnya tidak. dan minta bantuan kepada polsek bojongsari untuk patroli malam, saya tadi ke bri bojongsari tiba ada tukang parkir padahal saya sering kesitu biasanya engga, tadi mintanya maksa juga. mohon di bantu.."	"2025-10-08T09:21:58.335859Z"

109	"1"	"2025-10-08T09:22:42.587566Z"	1092	42.964	"Lingkungan"	"Kandang ayam terlalu dekat dengan lingkungan masyarakat Bau kurang sedap sering terasa membuat kami yang disekitarnya merasa kurang nyaman"	"2025-10-08T09:22:42.587566Z"

110	"1"	"2025-10-08T09:22:50.227235Z"	1093	6.631	"Ketertiban"	"saya mohon untuk semua pengamen yang berada di perempatan kedungmenjangan agar dapat ditertibkan karena mengganggu kenyamanan dan aktivitas warga. mereka suka mabuk-mabukan, bernyanyi sampai malam bahkan mengganggu warga. saya mohon kepada dinas terkait dapat menindaklanjuti laporan ini. terima kasih."	"2025-10-08T09:22:50.227235Z"

111	"1"	"2025-10-08T09:23:03.403760Z"	1094	11.684	"Pelayanan Publik"	"mohon pemerintah kab.pbg bisa segera menyelsaikan pembangunan terminal bobotsari yg udah mangkrak bertaun2 dan islamic center apa ga coba cari investor untuk di jadikan mall saja"	"2025-10-08T09:23:03.403760Z"

112	"1"	"2025-10-08T09:23:43.138087Z"	1095	38.453	"Pelayanan Publik"	"Assalamu'alaikum,, maaf Mau menanyakan perihal kompensasi masalah perdagangan yang masalah magang kemarindari pihak LBH katanya dapat kompensasi pak even tapi masih tetap dibayar gajih magang yang sisa gantungan, ditambah pengambilan sisa gantungan gajih di pos satpam, tidak seperti biasanya di depan lobby office. Tolong jawabannya Makasih"	"2025-10-08T09:23:43.138087Z"

113	"1"	"2025-10-08T09:24:01.099624Z"	1096	16.897	"Pelayanan Publik"	"Ijin, 1.kalo perihal magang masuknya magang disnaker, okelah dapat uang saku, tapi di sini kan magang saya lebih dari 3Bulan Masuk 24Agustus-13desember,lah disitu magang seharusnya kan 3Bulan. Gimana ? 2. Alurnya kalo magang disnaker selesai, seharusnya saya dapat sertifikaat/kertas bawah saya pernah pelatihan kerja di pt Cosmo Mohon ditidaklanjut. Terimakasihh kak.."	"2025-10-08T09:24:01.099624Z"

114	"1"	"2025-10-08T09:24:17.935646Z"	1097	14.959	"Pelayanan Publik"	"Kepada DINRUMKIM dan PUPR purbalingga dengan hormat saya sampaikan perihal proyek pembangunan perumahan subsidi di desa bojong, mrebet rt 01/05 berdasarkan pengamatan lapangan tentang sanitasi pembuangan limbah tanpa adanya IPAL atau sanitasi pembuangan limbah yg memadai berakibat menjadi pekembangan nyamuk,silakan di cek baik kebersihan gorong gorong pembuangan di setiap bak kontrol. Sesuai aturan pasal no 5 th 2012 tentang AMDAL KA-ANDAL DLL. Dan Melakukan kelalaian tentang aturan perda tentang tersedianya fasilitas penanganan darurat pemadam kebakaran seperti hidran dansebagainya. Demikian yg dapat saya sampaikan agar segera di tindaklanjuti trimakasih"	"2025-10-08T09:24:17.935646Z"

115	"1"	"2025-10-08T09:24:30.190983Z"	1098	11.117	"Infrastruktur"	"Ijin menyampaikan trotoar dan gorong2 pada ruas jalan pucung rumbak, bancar rusak jebol Dengan hormat, kepada yth bupati purbalingga dan dinas terkait untuk dapat memperbaiki mengingat memasuki musim hujan"	"2025-10-08T09:24:30.190983Z"

116	"1"	"2025-10-08T09:24:51.907900Z"	1099	20.077	"Ketertiban"	"Mohon untuk menertibkan booth jualan yang berada tepat di trotoar untuk pejalan kaki yang berlokasi disekitar gor guntur darjono"	"2025-10-08T09:24:51.907900Z"

117	"1"	"2025-10-08T09:25:06.043967Z"	1100	12.678	"Infrastruktur"	"Assalamualaikum wr wb, ijin melaporkan Bpk/ibu di pemerintahan kab. Purbalingga. Akses jalan di kelurahan Gunung wuled, kec. Rembang, kab. Purbalingga. Sudah lama tidak di perbaiki. Jalan yang naik turun dan rusaknya jalan menjadi alasan warga setempat untuk berbondong bondong untuk antusias memperbaiki dan entah anggaran yang di gunakan dari mna. Jalan di tempat kami sudah bertahun tahun tdk tangaani dari pihak kecamtan maupun kelurahan belm ada solusi sampai saat ini. Sedangkan jalan tersebut di gunakan untuk perekonomian , pendidikan dll. Sangat mengkhawatirkan anak2 sekolh yg sedang menempuh pendidikan dan melewati jalan tersebut apa lagi jika hujan turut rusak dan licinya jalan sangat membahayakan pengendara yg melintas dan sering terjadi korban . Maka dari itu saya warga setempat sangat- sangat memohon kepada pemerintahan purbalingga untuk segera merespon dan pemberbaiki jalan di desa kami.. Terima kasih.."	"2025-10-08T09:25:06.043967Z"

118	"1"	"2025-10-08T09:25:16.474793Z"	1101	7.522	"Pelayanan Publik"	"Mohon segera diperbaiki lampu penerangan jalan di Desa Grecol sepanjang jalan utama, banyak lampu yang mati"	"2025-10-08T09:25:16.474793Z"

119	"1"	"2025-10-08T09:25:30.693708Z"	1102	13.3	"Infrastruktur"	"Assalamu'alaikum mohon berkenan dibantu perbaikan/penggantian lampu jalan utama Purbalingga - Banjarnegara di Jl.Argandaru depan Indomaret 2 Bukateja/ depan Sate Balibul karena sudah sekitar 4 bulan padam.Kadang nyala sebentar,mati lagi.Nuwun untuk perhatian& perbaikan nya. Wassalamu'alaikum"	"2025-10-08T09:25:30.693708Z"

120	"1"	"2025-10-08T09:25:50.866522Z"	1103	18.74	"Pendidikan"	"Mohon untuk disnaker bisa dicek LPK Transbuana International School Purbalingga dan Purwokerto, karena LPK tersebut sudah terjadi banyak praktek kecurangan dan ingkar janji. Seperti berjanji untuk 2 bulan tanpa OJT bisa memberangkatkan siswanya nyatanya 2 bulan belum berangkat bahkan ada yang lebih dari 7 bulan belum berangkat ke kapal pesiar dan lebih parahnya mereka akan dibuang dengan dalih diOJTkan. Coba cek dan tanya muridnya secara langsung mohon tolong siswa siswa disana karena siswa disana banyak yang masih berusia 18tahun dan dari luar kota bahkan luar pulauNusa Tenggara Timur"	"2025-10-08T09:25:50.867518Z"

121	"1"	"2025-10-08T09:26:05.048744Z"	1104	12.871	"Infrastruktur"	"Assalamu'alaikm... Bupati purbalingga.. Sya mau tanya, anggaran dana desa itu termasuk untuk jalan2 desa yg rusak ngga ya, didesa saya jalannya rusak parah sangat berbahaya apalagi musim hujan sekarang ini.. Sangat berbahaya untuk dilewati, saya lampirkan gambar semoga bisa menjadi perhatian"	"2025-10-08T09:26:05.048744Z"

122	"1"	"2025-10-08T09:26:19.770954Z"	1105	13.636	"Pelayanan Publik"	"Mohon izin Ibu Bupati melaporkan terkait listrik padam terus menerus di kecamatan kalimanah, , mohon difollow up terkait permasalahan ini. Terimakasih atas perhatiannya"	"2025-10-08T09:26:19.770954Z"

123	"1"	"2025-10-08T09:26:39.193732Z"	1106	18.026	"Pelayanan Publik"	"Assalamualaikum pak/Bu mohon maaf sebesar besarnya perihal laporan saya pada tgl 20 Desember 2023 tanpa paksaan dari pihak manapun minta tolong untuk hapuskan /cabut laporan saya mengenai obat-obatan terlarang di PT Cosmo kalikabong karena itu kurang benar adanya itu murni kesalahan dan kelalaian saya sendiri dalam melaporkan masalah minta tolong untuk hapus laporan di aplikasi matur bupati"	"2025-10-08T09:26:39.193732Z"

124	"1"	"2025-10-08T09:27:01.246711Z"	1107	21.042	"Sosial dan Ekonomi"	"Aslmkum, slamat pagi Bupati / Dindikbud... Saya Guru di SMK Swasta, ada di dapodik, Kepala keluarga, ada istri anak 3, Gaji 1.5jt. PPPK blm lulus P1 2021. Bisakah ada jalur penggajian lain / tambahan? Atau lowongan kerja di Purbalingga keluar dari Guru, kenapa Bupati blm dapat mewajibkan Yayasan sekolah untuk menggaji Guru minimal UMK?"	"2025-10-08T09:27:01.246711Z"

125	"1"	"2025-10-08T09:27:10.226370Z"	1108	8.206	"Sosial dan Ekonomi"	"Dana Pkh bptn bulan Januari tahun 2024 di Purbalingga sudah bisa di cairkan atau belum"	"2025-10-08T09:27:10.226370Z"

